,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,Microsatelite Z1,,,,,Microsatelite Z2,,,,,Microsatelite Z3,,,,Microsatelite Z3,,,Microsatelite Z3,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,Site A,120,123,126,129,,235,237,239,243,,144,147,150,,120,124,,160,163,166,169
,,1,,,,,,,,,,,x,,,,,,,,,,
,,2,x,,,,,x,x,,,,x,,,,x,,,x,,,
,,3,x,,x,,,x,x,,,,x,,x,,x,,,x,,,
,,4,x,,x,,,x,,,,,x,,,,x,,,x,,,
,,5,x,,x,,,,x,,,,x,,,,x,,,x,,,
,,6,x,,,,,,x,,,,x,,,,x,,,x,,,
,,7,x,,x,,,x,,,,,,,x,,x,,,x,,,
,,8,x,,,,,,x,,,,,,x,,x,,,x,,,
,,9,,,x,,,x,,,,,,,x,,x,,,x,,,
,,10,,,x,,,x,,,,,,,x,,x,,,x,,,
,,11,x,,,,,,x,,,,,,x,,x,,,x,,,
,,12,,,x,,,x,,,,,,,x,,x,,,x,,,
,,13,,,x,,,x,,,,,x,,,,x,,,x,,,
,,14,x,,x,,,,x,,,,,,x,,x,,,x,,,
,,15,x,,,,,x,,,,,x,,,,x,,,x,,,
,,16,,,x,,,x,,,,,x,,x,,x,,,x,,,
,,17,,,x,,,x,,,,,x,,x,,x,,,x,,,
,,18,x,,,,,,x,,,,x,,,,x,,,x,,,
,,19,x,,x,,,x,,,,,x,,,,x,,,x,,,
,,20,,x,,,,x,x,,,,,,x,,x,,,x,,,
,,21,x,,x,,,x,,,,,x,,,,x,,,x,,,
,,22,,,x,,,,x,,,,x,,,,x,,,x,,,
,,23,,x,x,,,x,,,,,x,,x,,x,,,x,,,
,,24,x,,,,,x,x,,,,x,,x,,x,,,x,,,
,,25,x,,x,,,x,x,,,,x,,,,x,,,x,,,
,,26,x,,x,,,x,,,,,x,x,,,x,,,x,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,Site B,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,1,,x,,,,,x,,,,x,,,,x,,,,x,,
,,2,,x,,,,,x,x,,,,x,,,x,,,x,x,,
,,3,,x,,,,,x,,x,,,x,,,x,,,,x,,
,,4,x,,,,,,x,x,,,x,x,,,x,,,x,x,,
,,5,,,x,,,,x,,x,,x,x,,,x,,,x,x,,
,,6,,,x,,,,,x,,,x,x,,,x,x,,x,,,
,,7,,x,x,,,,x,x,,,x,x,,,x,,,x,,,
,,8,,,,,,,,x,,,,x,,,x,,,,x,,
,,9,,x,,,,,x,,,,,x,,,x,x,,x,x,,
,,10,x,,,,,,x,x,,,x,x,,,x,x,,,x,,
,,11,,x,x,,,,x,,,,x,x,,,x,x,,x,x,,
,,12,x,x,,,,,,x,x,,x,,,,x,,,x,x,,
,,13,,x,,,,,x,,x,,x,,,,x,x,,,x,,
,,14,x,x,,,,,,x,,,x,x,,,x,,,x,x,,
,,15,,x,,,,,x,x,,,,x,,,x,x,,x,x,,
,,16,x,,,,,,,x,x,,x,x,,,,x,,x,,,
,,17,,,x,,,,,x,,,x,x,,,,x,,x,,,
,,18,,,x,,,,x,x,,,x,,,,x,x,,x,x,,
,,19,,x,,,,,,x,,,x,x,,,x,,,x,x,,
,,20,,x,,,,,,x,x,,,x,,,x,,,,x,,
,,21,,,x,,,,,x,x,,x,x,,,x,x,,x,x,,
,,22,,x,x,,,,,x,,,,x,,,x,x,,,x,,
,,23,,x,x,,,,x,,,,x,x,,,,x,,,x,,
,,24,,x,,,,,x,x,,,x,x,,,,x,,x,x,,
,,25,x,,x,,,,x,,,,,x,,,x,,,,x,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,Site C,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,1,x,,,x,,,,x,,,x,,,,x,,,,x,,
,,2,,x,,x,,,,x,,,,x,,,x,,,x,,,
,,3,,x,x,,,,x,,,,,x,,,x,,,x,x,,
,,4,,,x,,,x,,,x,,,x,,,x,,,,x,x,
,,5,x,,x,,,,x,,x,,,x,x,,x,,,,x,,
,,6,,x,,x,,,x,x,,,,x,,,x,x,,,x,x,
,,7,,x,,,,x,x,,,,,x,x,,x,,,,x,x,
,,8,,,,x,,x,,x,,,,x,,,x,,,,x,x,
,,9,,x,,,,,,x,,,,x,,,x,x,,,,x,
,,10,,,,x,,,x,,,,,x,,,x,x,,x,,x,
,,11,,x,,x,,,x,,,,,x,x,,x,x,,x,,,
,,12,x,,,x,,,,x,,,,,x,,x,,,x,x,,
,,13,,x,,,,,,x,x,,,x,,,x,x,,,x,,
,,14,x,x,,,,,,x,x,,,x,,,x,,,,,x,
,,15,,x,,x,,,x,x,,,,x,x,,x,x,,,x,,
,,16,,,,x,,,,x,,,x,,,,,x,,,x,,
,,17,,,,x,,,,x,,,x,x,,,,x,,x,,,
,,18,x,,x,,,x,x,,,,x,,,,x,x,,x,x,,
,,19,x,,x,,,x,x,,,,,x,x,,x,,,x,,,
,,20,,x,,,,,x,,,,,,x,,x,,,x,x,,
,,21,,x,,x,,,x,,,,,x,,,x,x,,x,x,,
,,22,,x,,x,,,x,,,,x,x,,,x,x,,,x,x,
,,23,,,,x,,,,x,,,,x,,,,x,,,,x,
,,24,,x,,x,,,x,x,,,,x,x,,,x,,,,x,
,,25,,,,x,,,x,,,,,x,,,x,,,,x,x,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,Site D,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,1,x,,,,,,x,,,,x,,,,x,,,,,x,
,,2,x,,x,,,,x,,,,x,,,,x,,,,,x,
,,3,x,,x,,,,x,x,,,x,,x,,x,,,,,x,
,,4,x,,x,,,,x,x,,,x,,,,x,,,x,,x,
,,5,x,,,,,,x,x,,,x,,,,x,,,x,,x,
,,6,x,,x,,,,,x,,,x,,,,x,,,x,,,
,,7,x,,,,,,,x,,,,,x,,x,,,x,,x,
,,8,,,x,,,,x,x,,,,,x,,x,,,x,,x,
,,9,,,x,,,,x,,,,,,x,,x,,,,,x,
,,10,x,,,,,,x,x,,,,,x,,x,,,,x,x,
,,11,,,x,,,,x,x,,,,,x,,x,,,,x,x,
,,12,,,x,,,,x,,,,,,x,,x,,,,,,
,,13,x,,x,,,,x,x,,,x,,,,x,,,,,x,
,,14,x,,,,,,,x,,,,,x,,x,,,,x,,
,,15,,,x,,,,x,,,,x,,,,x,,,,x,,
,,16,,,x,,,,x,x,,,x,,x,,x,,,,x,x,
,,17,x,,,,,,x,,,,x,,x,,x,,,,x,x,
,,18,x,,x,,,,x,x,,,x,,,,x,,,,,x,
,,19,,x,,,,,x,x,,,x,,,,x,,,,,x,
,,20,x,,x,,,,x,,,,,,x,,x,,,x,,x,
,,21,,,x,,,,,x,,,x,,,,x,,,,,x,
,,22,,x,x,,,,x,,,,x,,,,x,,,x,,x,
,,23,x,,,,,,x,x,,,x,,x,,x,,,x,,,
,,24,x,,x,,,,x,x,,,x,,x,,x,,,,,x,
,,25,x,,x,,,,x,,,,x,,,,x,,,x,,x,
,,,,,,,,,,,,,,,,,,,,,,,
,,Site E,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,1,x,x,,,,x,,,,,x,,,,x,,,x,,,
,,2,,x,,,,x,,,,,x,,,,x,,,x,,,
,,3,,x,,x,,x,,x,,,x,,,,x,,,x,,,
,,4,,x,,x,,x,,x,,,x,,,,x,x,,x,,,
,,5,,x,,,,x,,x,,,x,,,,x,,,x,,,
,,6,,,,x,,,,x,,,x,,,,,x,,x,,,
,,7,x,x,,,,,,x,,,x,,,,,x,,x,x,,
,,8,x,,,x,,x,,x,,,x,,,,x,,,x,,,
,,9,,x,,,,x,,,,,x,,,,x,x,,x,,,
,,10,x,x,,,,x,,x,,,x,,,,x,x,,,x,,
,,11,x,x,,,,x,,x,,,x,,,,,x,,x,,,
,,12,,x,,,,x,,,,,x,,,,x,,,x,,,
,,13,,x,,x,,x,,x,,,x,,,,x,,,x,x,,
,,14,,x,,,,,,x,,,x,,,,x,x,,x,,,
,,15,x,x,,,,x,,,,,x,,,,,x,,x,,,
,,16,x,x,,,,x,,x,,,x,,,,,x,,x,,,
,,17,x,x,,,,x,,,,,x,,,,x,,,x,,,
,,18,,x,,x,,x,,x,,,x,,,,x,,,x,,,
,,19,,x,,x,,x,,x,,,x,,,,x,x,,x,,,
,,20,,x,,,,x,,,,,x,,,,x,,,x,,,
,,21,x,x,,,,,,x,,,x,,,,x,,,,x,,
,,22,x,x,,,,x,,,,,x,,,,x,x,,x,,,
,,23,,x,,x,,x,,x,,,x,,,,,x,,x,,,
,,24,x,,,x,,x,,x,,,x,,,,x,,,x,,,
,,25,,x,,,,x,,,,,x,,,,,x,,x,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,Site E,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,1,,x,,,,,x,,,,,,x,,,x,,,x,,
,,2,,,,x,,,x,,,,,,x,,,x,,x,,,
,,3,,,,x,,,x,x,,,,,x,,,x,,x,x,,
,,4,,x,,,,,x,x,,,,x,x,,,x,,,x,x,
,,5,,x,,x,,,x,x,,,,x,x,,,x,,,x,,
,,6,,x,,,,,,x,,,,,x,,,x,,,x,x,
,,7,,,,x,,,,x,,,,,x,,,x,,,x,x,
,,8,,,,x,,,x,x,,,,x,x,,,x,,,x,x,
,,9,,x,,x,,,x,,,,,x,x,,,x,,,,x,
,,10,x,,,,,,x,x,,,,x,x,,,x,,x,,x,
,,11,,x,,,,,x,x,,,,x,x,,,x,,x,,,
,,12,,x,,,,,x,,,,,x,x,,,x,,x,x,,
,,13,x,,,,,,x,x,,,,x,x,,,x,,,x,,
,,14,,x,,x,,,,x,,,,,x,,,x,,,,x,
,,15,x,,,x,,,x,,,,,,x,,,x,,,x,,
,,16,,x,,,,,x,x,,,,,x,,,x,,,x,,
,,17,,,,x,,,x,,,,,,x,,,x,,x,,,
,,18,,x,,x,,,x,x,,,,,x,,,x,,x,x,,
,,19,x,x,,,,,x,x,,,,,x,,,x,,x,,,
,,20,,x,,x,,,x,,,,,,x,,,x,,x,x,,
,,21,,x,,,,,,x,,,,x,x,,,x,,x,x,,
,,22,,,,x,,,x,,,,,,x,,,x,,,x,x,
,,23,,x,,x,,,x,x,,,,,x,,,x,,,,x,
,,24,,x,,,,,x,x,,,,,x,,,x,,,,x,
,,25,,x,,,,,x,,,,,x,x,,,x,,,x,x,
,,,,,,,,,,,,,,,,,,,,,,,
,,Site F,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,1,,,x,,,,,x,,,,,x,,,x,,,,x,
,,2,,,x,x,,,,x,,,,,x,,,x,,,,x,
,,3,,,x,x,,,x,x,,,,,x,,,x,,,x,x,
,,4,,,x,,,,,x,,,,x,x,,,x,,,x,,
,,5,,x,,,,,x,,,,,x,x,,,x,,,x,x,
,,6,,,x,,,,,x,,,,,x,,,x,,,x,,
,,7,,x,,,,,x,x,,,,,x,,,x,,,,x,x
,,8,,,x,,,,,x,,,,x,x,,,x,,,,x,
,,9,x,x,,,,,,x,,,,x,x,,,x,,,x,,
,,10,,x,,x,,,x,,,,,x,x,,,x,,,x,x,
,,11,,,x,,,,x,x,,,,x,x,,,x,,,x,,
,,12,x,x,,,,,x,x,,,,x,x,,,x,,,x,x,
,,13,,,x,,,,x,x,,,,x,x,,,x,,,,x,
,,14,,,x,,,,x,x,,,,,x,,,x,,,x,,x
,,15,,x,,x,,,,x,,,,,x,,,x,,,x,,x
,,16,,x,,x,,,,x,,,,,x,,,x,,,x,x,
,,17,,,x,,,,,x,,,,,x,,,x,,,x,,
,,18,,,x,,,,x,x,,,,,x,,,x,,,x,x,
,,19,,x,,,,,x,x,,,,,x,,,x,,,x,x,
,,20,,,x,,,,,x,,,,,x,,,x,,,,x,x
,,21,,,x,,,,,x,,,,x,x,,,x,,,x,x,
,,22,,x,x,,,,x,,,,,,x,,,x,,,x,x,
,,23,,,x,,,,x,x,,,,,x,,,x,,,,x,
,,24,x,x,,,,,x,x,,,,,x,,,x,,,x,x,
,,25,,x,,,,,,x,,,,x,x,,,x,,,,x,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,Site G,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,1,,,x,,,,,x,,,x,,,,x,x,,,,x,
,,2,,,x,x,,,,x,,,x,,,,x,,,,x,,
,,3,,,x,x,,,x,x,,,x,,,,x,,,,x,x,
,,4,,,x,,,,,x,,,x,,,,x,,,,x,,
,,5,,x,,,,,x,,,,x,x,,,x,x,,,,x,x
,,6,,,x,,,,,x,,,x,x,,,,x,,,,x,
,,7,,x,,,,,x,x,,,x,x,,,x,,,,x,x,
,,8,,,x,,,,,x,,,,x,,,x,x,,,x,,
,,9,x,x,,,,,,x,,,,x,,,x,x,,,x,x,
,,10,,x,,x,,,x,,,,,x,x,,,x,,,x,,
,,11,,,x,,,,x,x,,,,x,,,x,x,,,,x,
,,12,x,x,,,,,x,x,,,,x,x,,x,x,,,x,x,
,,13,,,x,,,,x,x,,,,,x,,x,,,,x,,
,,14,,,x,,,,x,x,,,,,x,,,x,,,x,,x
,,15,,x,,x,,,,x,,,,,x,,x,x,,,,,x
,,16,,x,,x,,,,x,,,x,,x,,x,x,,,,x,x
,,17,,,x,,,,,x,,,x,,x,,x,,,,x,x,
,,18,,,x,,,,x,x,,,x,,x,,x,,,,x,,
,,19,,x,,,,,x,x,,,x,,x,,x,x,,,,x,
,,20,,,x,,,,,x,,,x,,x,,x,x,,,,x,x
,,21,,,x,,,,,x,,,x,,,,x,,,,x,,
,,22,,x,x,,,,x,,,,x,x,,,x,,,,x,,
,,23,,,x,,,,x,x,,,x,x,,,,x,,,,x,
,,24,x,x,,,,,x,x,,,x,x,,,x,x,,,,x,x
,,25,,x,,,,,,x,,,x,x,,,,x,,,,x,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,Site H,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,1,x,,,,,,,x,x,,,,x,,,x,,,,,x
,,2,x,,,,,,,x,,,,,x,,,x,,,,,x
,,3,x,,,,,,,x,,,,,x,,,x,,,,x,x
,,4,x,x,,,,,,x,x,,,x,x,,,x,,,,,x
,,5,x,,,,,,,x,x,,,x,x,,,x,,,,,x
,,6,x,,,,,,,x,x,,,,x,,,x,,,,,x
,,7,x,,,,,,,x,,,,,x,,,x,,,,x,
,,8,x,,,,,,,x,,,,x,x,,,x,,,,x,x
,,9,x,,,,,,,x,,,,x,x,,,x,,,,,x
,,10,x,,,,,,,,x,,,x,x,,,x,,,,,x
,,11,x,x,,,,,,x,,,,x,x,,,x,,,,x,x
,,12,x,,,,,,,x,,,,x,x,,,x,,,,x,x
,,13,x,,,,,,,x,,,,x,x,,,x,,,,,x
,,14,x,,,,,,,x,x,,,,x,,,x,,,,,x
,,15,x,,,,,,,x,x,,,,x,,,x,,,,x,x
,,16,x,x,,,,,,x,x,,,,x,,,x,,,,x,
,,17,x,,,,,,,x,,,,,x,,,x,,,,,x
,,18,x,,,,,,,,x,,,,x,,,x,,,,,x
,,19,x,,,,,,,,x,,,,x,,,x,,,,x,x
,,20,x,x,,,,,,,x,,,,x,,,x,,,,x,x
,,21,x,,,,,,,,x,,,x,x,,,x,,,,,x
,,22,x,,,,,,,x,,,,,x,,,x,,,,x,x
,,23,x,,,,,,,x,x,,,,x,,,x,,,,x,x
,,24,x,x,,,,,,x,,,,,x,,,x,,,,,x
,,25,x,,,,,,,,x,,,x,x,,,x,,,,x,x
,,,,,,,,,,,,,,,,,,,,,,,
,,Site I,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,1,x,,,,,,,x,,,,x,,,,x,,,,,x
,,2,,x,,,,,,x,,,,x,,,,x,,,,,x
,,3,,x,,,,,,x,,,,x,,,,x,,,,x,x
,,4,x,x,,,,,,x,,,,x,x,,,x,,,,,x
,,5,,x,,,,,,x,,,,x,x,,,x,,,,,x
,,6,x,x,,,,,,x,,,,x,x,,,x,,,,,x
,,7,x,,,,,,,x,,,,,x,,,x,,,,,x
,,8,x,x,,,,,,x,,,,x,x,,,x,,,,x,
,,9,x,,,,,,,x,,,,x,,,,x,,,,x,x
,,10,,x,,,,,,x,,,,x,,,,x,,,,x,x
,,11,x,,,,,,,x,,,,x,x,,,x,,,,x,
,,12,,x,,,,,,x,,,,,x,,,x,,,,,x
,,13,x,,,,,,,x,,,,,x,,,x,,,,x,x
,,14,x,,,,,,,x,,,,x,x,,,x,,,,,x
,,15,x,x,,,,,,x,,,,x,x,,,x,,,,x,x
,,16,x,x,,,,,,x,,,,x,,,,x,,,,x,x
,,17,x,x,,,,,,x,,,,x,,,,x,,,,,x
,,18,x,,,,,,,x,,,,x,,,,x,,,,x,
,,19,,x,,,,,,x,,,,x,x,,,x,,,,,x
,,20,x,x,,,,,,x,,,,x,,,,x,,,,,x
,,21,x,x,,,,,,x,,,,,x,,,x,,,,x,x
,,22,,x,,,,,,x,,,,,x,,,x,,,,,x
,,23,x,,,,,,,x,,,,x,x,,,x,,,,x,
,,24,x,,,,,,,x,,,,,x,,,x,,,,x,x
,,25,x,,,,,,,x,,,,x,,,,x,,,,x,
